fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
0.96,1.46,0.78,0.59,1.84,1.91,0.58,1.12,1.4,0.77,2
1.78,1.56,0.95,0.47,0.91,0.75,0.12,0.91,1.5,0.21,2
0.85,1.0,0.85,0.48,2.1,1.36,0.73,0.97,0.95,1.12,2
1.76,1.36,0.48,0.76,0.27,0.33,0.45,0.96,1.02,0.55,2
1.48,2.95,2.86,1.5,0.17,1.08,1.19,0.14,1.34,0.86,2
0.67,0.79,1.31,1.18,1.77,1.54,0.54,0.66,0.1,0.42,2
1.13,1.99,1.84,0.96,0.41,0.62,0.95,0.07,0.59,0.45,2
1.27,1.16,1.04,0.8,0.42,1.22,0.5,0.58,0.2,0.49,2
0.61,0.67,0.95,0.81,0.4,0.59,0.59,0.5,0.37,0.51,2
1.73,1.14,0.53,0.09,0.92,1.57,1.5,0.73,0.86,1.43,2
1.8,1.33,1.58,2.21,1.45,0.87,1.32,1.23,0.75,0.81,2
1.45,0.71,1.14,0.84,1.22,0.68,1.02,0.38,1.43,1.04,2
1.69,0.99,0.77,0.99,0.56,1.09,0.83,0.5,0.91,0.79,2
1.16,1.79,1.28,0.51,0.47,0.77,0.86,0.58,0.47,0.68,2
1.45,1.06,0.45,0.49,1.0,0.49,0.58,0.74,0.55,0.43,2
1.57,0.35,1.47,0.82,0.82,0.38,0.94,1.08,1.29,2.38,2
0.75,0.94,1.42,0.89,0.58,0.48,1.13,0.75,1.45,1.44,2
2.0,1.19,0.97,1.14,0.8,0.6,0.69,0.67,0.65,0.79,2
1.78,2.29,2.06,1.14,0.8,0.42,0.95,0.73,0.1,0.3,2
1.77,1.36,0.44,0.07,0.7,0.63,0.58,1.33,0.81,0.27,2
1.57,0.76,0.42,0.25,1.11,1.39,0.62,1.45,1.79,0.48,2
2.66,2.55,2.39,1.46,0.79,0.93,0.76,0.48,0.13,0.33,2
1.42,0.97,0.7,0.49,0.76,0.48,0.21,0.9,1.56,0.74,2
0.9,0.3,0.84,0.53,0.87,0.72,0.75,0.49,0.51,1.12,2
1.21,1.59,1.98,1.41,0.74,0.77,0.42,0.68,0.55,0.17,2
1.25,1.48,2.09,0.76,0.26,0.82,1.7,1.67,0.64,0.54,2
1.49,0.8,2.19,1.45,0.17,0.41,1.29,1.53,0.85,0.31,2
0.38,0.47,0.17,0.42,1.11,1.24,1.08,1.59,1.2,0.91,2
1.8,1.65,0.22,0.59,0.28,0.15,0.47,0.83,0.13,0.57,2
1.25,1.08,1.05,1.37,1.34,0.91,0.51,0.98,0.9,0.8,2
2.66,1.64,0.66,0.91,1.0,1.03,1.22,0.59,0.35,0.32,2
2.8,1.8,0.24,0.64,0.92,0.74,0.71,1.28,0.9,0.08,2
0.72,1.4,0.81,0.73,1.12,0.6,1.03,1.47,0.31,0.36,2
1.81,1.89,1.64,1.68,0.31,0.29,0.43,0.57,0.38,0.17,2
1.67,1.36,1.07,1.37,1.09,1.28,1.31,1.0,1.12,1.37,2
1.57,2.24,1.74,2.11,1.81,0.77,0.09,0.55,0.66,0.97,2
1.41,1.49,0.28,1.06,0.75,0.7,0.57,0.58,1.66,1.44,2
0.43,1.48,0.91,0.73,0.39,0.48,0.07,0.98,1.39,1.41,2
1.13,2.84,2.67,1.01,0.99,0.76,0.58,0.86,0.94,0.31,2
0.55,1.44,1.22,0.89,0.65,0.38,0.5,0.95,1.29,1.0,2
1.24,1.15,0.37,0.23,0.18,0.61,1.24,1.03,0.64,0.12,2
0.87,1.63,1.23,2.66,1.82,0.42,0.23,0.67,0.58,0.37,2
0.55,1.27,2.26,3.12,1.39,0.54,0.82,0.82,1.29,0.84,2
0.58,1.22,1.56,1.58,0.85,1.58,1.72,1.18,0.6,0.27,2
0.56,1.08,0.91,1.73,1.61,0.76,0.23,0.49,0.19,0.93,2
1.01,1.22,0.37,0.34,0.19,0.22,0.24,0.23,0.47,0.6,2
1.07,1.56,0.86,0.53,0.46,0.57,1.04,0.84,0.91,1.04,2
0.93,0.58,0.67,0.83,0.62,0.77,0.96,1.2,0.89,0.95,2
0.86,0.71,1.39,1.71,1.09,0.56,0.48,0.46,0.32,1.1,2
1.35,1.62,0.69,1.86,0.51,1.38,1.22,0.2,0.38,1.09,2
0.69,0.74,0.65,0.57,1.36,0.6,0.44,0.52,0.76,0.6,2
0.43,0.57,0.93,1.16,1.83,0.95,0.42,0.69,0.86,0.44,2
0.84,1.92,1.73,1.87,1.63,0.3,0.21,0.34,0.61,0.46,2
0.39,0.38,1.3,0.98,0.1,0.82,1.38,0.84,0.46,0.72,2
0.86,1.71,0.68,0.69,0.7,0.97,0.98,1.12,0.76,0.86,2
0.95,2.13,1.1,0.4,0.39,0.4,0.15,0.56,0.65,0.81,2
